Generation,Average Fitness,Best Fitness,,,Best Chromosome
1,0.467233,0.578333,,,00,3A,7B,00,2B,4B,00,7B,00,6A,
2,0.4884,0.611667,,,9A,2A,7A,6A,00,2B,00,7B,2A,8A,
3,0.50715,0.616667,,,9A,2A,6A,7A,00,2B,00,7B,2A,8A,
4,0.516208,0.616667,,,9A,2A,6A,7A,00,2B,00,7B,2A,8A,
5,0.53425,0.616667,,,9A,2A,6A,7A,00,2B,00,7B,2A,8A,
6,0.541083,0.63,,,8A,6A,2A,9A,6A,2A,4A,8A,6A,3A,
7,0.548742,0.646667,,,8A,6A,3B,9A,00,9A,2A,7B,00,3A,
8,0.554692,0.646667,,,8A,6A,3B,9A,00,9A,2A,7B,00,3A,
9,0.56335,0.646667,,,8A,6A,3B,9A,00,9A,2A,7B,00,3A,
10,0.56695,0.646667,,,8A,6A,3B,9A,00,9A,2A,7B,00,3A,
11,0.572075,0.646667,,,8A,6A,3B,9A,00,9A,2A,7B,00,3A,
12,0.57595,0.646667,,,8A,6A,3B,9A,00,9A,2A,7B,00,3A,
13,0.581683,0.646667,,,8A,6A,3B,9A,00,9A,2A,7B,00,3A,
14,0.581258,0.656667,,,00,9A,3B,00,00,8B,00,6A,2A,00,
15,0.586458,0.656667,,,00,9A,3B,00,00,8B,00,6A,2A,00,
16,0.585583,0.656667,,,00,9A,3B,00,00,8B,00,6A,2A,00,
17,0.587333,0.656667,,,00,9A,3B,00,00,8B,00,6A,2A,00,
18,0.588991,0.66,,,9A,6A,3B,00,00,8B,3B,00,6A,00,
19,0.588883,0.671667,,,7A,9A,3B,00,00,8B,2A,00,5A,9A,
20,0.593983,0.676667,,,00,9A,3B,00,00,8B,4A,2A,6A,9A,
21,0.594758,0.676667,,,00,9A,3B,00,00,8B,4A,2A,6A,9A,
22,0.598833,0.676667,,,00,9A,3B,00,00,8B,4A,2A,6A,9A,
23,0.604825,0.676667,,,00,9A,3B,00,00,8B,4A,2A,6A,9A,
24,0.6088,0.676667,,,00,9A,3B,00,00,8B,4A,2A,6A,9A,
25,0.60745,0.676667,,,00,9A,3B,00,00,8B,4A,2A,6A,9A,
26,0.612725,0.676667,,,00,9A,3B,00,00,8B,4A,2A,6A,9A,
27,0.61725,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
28,0.618833,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
29,0.628083,0.7,,,00,9A,3B,00,00,8B,00,3B,9A,00,
30,0.630575,0.7,,,00,8A,3B,00,00,8B,00,3B,8A,00,
31,0.634884,0.7,,,00,8A,3B,00,00,8B,00,3B,8A,00,
32,0.640258,0.7,,,00,8A,3B,00,00,8B,00,3B,8A,00,
33,0.64745,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
34,0.649925,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
35,0.65475,0.7,,,00,8A,3B,00,00,8B,00,3B,8A,00,
36,0.660158,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
37,0.660425,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
38,0.663108,0.7,,,00,8A,3B,00,00,8B,00,3B,8A,00,
39,0.667275,0.7,,,00,9A,3B,00,00,8B,00,3B,00,9A,
40,0.666725,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
41,0.669708,0.7,,,00,9A,3B,00,00,8B,00,3B,9A,00,
42,0.677358,0.7,,,00,9A,3B,00,00,8B,00,3B,00,8A,
43,0.68245,0.7,,,00,9A,3B,00,00,8B,00,3B,00,9A,
44,0.684149,0.7,,,00,7A,3B,00,00,8B,00,3B,8A,00,
45,0.686199,0.7,,,00,9A,3B,00,00,8B,00,3B,9A,00,
46,0.688474,0.7,,,00,8A,3B,00,00,8B,00,3B,00,9A,
47,0.688999,0.7,,,00,8A,3B,00,00,8B,00,3B,00,8A,
48,0.691474,0.7,,,00,9A,3B,00,00,8B,00,3B,00,8A,
49,0.690124,0.7,,,00,9A,3B,00,00,8B,00,3B,7A,00,
50,0.687299,0.7,,,00,8A,3B,00,00,8B,00,3B,8A,00,
51,0.689924,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
52,0.689799,0.7,,,00,8A,3B,00,00,8B,00,3B,9A,00,
53,0.692249,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,
54,0.690424,0.7,,,00,9A,3B,00,00,8B,00,3B,7A,00,
55,0.691424,0.7,,,00,9A,3B,00,00,8B,00,3B,8A,00,

Final Chromosome:,,,,,00,9A,3B,00,00,8B,00,3B,8A,00,

,,,,row1:,1,1,1,1,1,1,1,1,1,1,
,,,,row2:,1,1,1,1,1,1,1,1,1,1,
,,,,row3:,1,1,1,1,1,1,1,1,1,1,
,,,,row4:,1,1,1,1,1,1,1,1,1,1,
,,,,row5:,1,1,1,1,1,1,1,1,1,1,
,,,,row6:,0,0,0,1,1,1,1,1,0,0,
,,,,row7:,0,0,0,1,1,1,1,1,1,1,
,,,,row8:,1,1,1,1,1,1,1,1,1,1,
,,,,row9:,1,1,1,1,1,1,1,1,1,1,
,,,,row10:,1,1,1,1,1,1,1,1,0,0,

NumCCTV:,5
SumVisionValue:,90
SumCCTVPrice:,750
Fitness1:,0.9
Fitness2:,0.5
TotalFitness:,0.7
